transaction_amount,transaction_velocity,network_latency,merchant_age_days,geo_distance,device_risk,retry_count,bank_latency,hour_of_day,merchant_risk,fraud_label,routing_failure_label,reliability_failure_label
2971.18,2,352.64,334.27,160.3,0.094,0,131.99,5,0.208,0,1,0
1574.57,2,276.64,112.78,1.11,0.42,1,230.57,20,0.32,0,1,0
3455.38,7,88.56,1673.75,18.37,0.288,0,242.99,3,0.028,0,0,0
8291.86,5,81.38,1991.12,114.8,0.16,0,252.58,14,0.2,0,0,1
1430.6,8,220.17,205.41,1.65,0.151,1,172.13,15,0.106,0,0,0
1430.62,7,168.57,1710.18,157.25,0.076,0,192.55,20,0.29,0,0,0
8771.06,5,329.58,545.86,24.55,0.368,0,152.91,0,0.17,0,0,1
3894.94,4,306.84,35.52,6.1,0.21,0,270.75,8,0.081,0,0,1
1130.62,3,291.37,636.73,17.92,0.663,0,172.53,19,0.536,0,1,0
3110.57,9,181.4,1511.18,82.56,0.168,0,150.93,11,0.348,0,0,0
1137.49,4,267.7,404.21,323.15,0.038,1,200.98,18,0.074,0,0,0
1134.87,8,290.08,640.59,7.18,0.397,1,269.22,17,0.234,0,1,0
2302.99,4,208.81,121.23,50.75,0.279,0,169.71,4,0.792,0,0,0
266.86,2,221.25,1477.13,129.72,0.312,2,107.6,16,0.14,0,1,1
322.17,2,286.4,90.44,114.99,0.369,0,214.0,7,0.436,0,0,0
1030.41,5,118.62,79.35,24.17,0.19,0,103.71,14,0.065,0,0,0
656.66,8,180.6,2169.15,100.41,0.167,1,234.48,10,0.216,0,0,0
2475.62,5,171.02,1653.84,10.63,0.077,1,121.57,15,0.474,0,1,0
729.22,6,368.17,684.3,50.0,0.098,0,115.98,20,0.499,0,1,0
440.41,3,186.13,89.78,45.57,0.404,1,327.57,12,0.298,0,1,0
7829.46,5,253.32,631.7,76.37,0.268,1,290.9,12,0.417,1,1,1
1442.63,8,327.49,2026.03,13.0,0.564,1,127.04,2,0.508,0,1,0
1934.35,4,158.96,758.13,49.56,0.057,0,156.64,19,0.583,0,0,0
434.96,5,355.12,176.75,47.13,0.211,2,173.18,23,0.39,0,1,0
1049.03,1,365.39,1890.13,4.4,0.198,1,259.9,12,0.576,0,0,0
2020.14,5,20.0,1604.69,20.07,0.405,0,192.94,13,0.223,0,0,0
571.92,6,292.77,632.76,11.62,0.255,0,153.67,9,0.629,0,0,1
2632.52,3,374.14,1529.75,390.21,0.329,0,144.23,0,0.071,0,0,0
991.64,6,203.87,46.41,233.35,0.389,0,132.86,5,0.112,0,0,0
1350.6,5,314.81,494.7,14.55,0.409,1,128.77,21,0.545,0,0,0
990.58,5,91.06,156.9,82.65,0.352,1,319.39,14,0.208,0,0,0
11525.05,6,59.84,1453.86,84.77,0.065,1,229.45,13,0.198,0,0,1
1783.8,6,199.11,2837.66,137.37,0.343,0,210.98,15,0.085,0,0,0
627.84,7,132.92,2135.44,6.92,0.058,2,208.07,15,0.335,0,0,0
4115.62,6,292.76,559.89,55.07,0.324,2,159.2,13,0.144,0,0,1
533.34,5,288.88,572.31,11.53,0.042,0,149.67,16,0.197,0,0,0
2228.01,6,461.48,1910.76,53.6,0.291,1,329.33,11,0.182,0,0,0
254.76,6,345.72,1023.38,102.86,0.263,1,168.36,8,0.106,0,0,0
479.05,5,178.27,62.03,4.24,0.332,0,68.68,10,0.592,1,0,0
2201.43,10,255.44,109.88,50.67,0.547,0,190.28,12,0.235,0,0,0
3783.73,4,276.09,2424.63,38.57,0.204,1,109.58,19,0.712,0,0,1
2146.02,8,313.35,364.43,9.65,0.075,1,182.49,10,0.616,0,1,0
1610.58,6,20.0,165.97,13.56,0.211,0,249.24,22,0.563,0,1,0
1337.95,4,195.64,1064.04,36.75,0.679,2,25.45,8,0.398,0,0,0
412.19,5,375.07,1694.14,98.48,0.1,0,123.25,13,0.415,0,0,0
880.21,4,297.36,185.1,56.22,0.109,0,79.64,8,0.127,0,0,1
1140.66,6,254.74,231.68,1.39,0.124,1,156.97,19,0.157,0,0,0
5203.68,2,187.71,1841.6,6.74,0.309,2,168.31,22,0.136,0,0,1
2549.41,2,234.22,10.61,107.13,0.41,2,298.13,10,0.44,0,1,1
310.12,9,255.0,1908.34,52.87,0.321,1,214.67,11,0.117,1,0,0
2500.09,1,140.72,32.04,0.91,0.456,1,176.39,21,0.421,0,0,1
1230.18,3,282.1,80.21,45.34,0.272,1,262.51,11,0.375,0,1,0
918.81,4,258.42,1586.0,9.23,0.072,1,222.58,23,0.695,0,1,0
3333.16,3,199.85,228.46,126.24,0.148,0,141.56,9,0.456,0,0,0
5069.51,2,199.53,203.6,6.53,0.569,0,257.86,21,0.16,0,0,1
4588.37,6,100.51,1486.98,4.0,0.062,1,243.47,9,0.189,0,0,1
781.16,2,383.04,625.05,51.75,0.271,4,174.19,6,0.098,0,0,0
1327.15,7,309.54,345.39,78.69,0.188,1,103.23,1,0.226,0,0,1
2518.11,10,284.51,1002.06,16.0,0.602,2,94.99,5,0.131,0,0,0
4796.04,1,314.55,1327.51,17.93,0.417,0,176.71,21,0.267,0,0,0
1119.71,2,20.0,1588.87,22.06,0.484,2,278.35,15,0.326,0,0,0
1501.68,4,453.53,101.68,72.58,0.065,1,213.53,19,0.092,0,0,0
598.04,4,20.0,698.86,15.19,0.189,0,228.38,8,0.357,0,0,0
546.64,8,356.79,907.11,4.61,0.174,0,101.14,8,0.403,0,0,0
4074.59,6,261.23,99.07,18.49,0.045,0,206.71,1,0.055,0,0,1
7018.05,2,122.21,753.54,169.12,0.111,0,114.94,14,0.35,0,0,1
1682.42,6,262.52,25.97,28.51,0.299,1,245.1,10,0.309,0,0,0
4932.16,8,308.34,334.32,41.05,0.383,0,307.13,2,0.127,0,1,1
2595.76,8,189.5,151.01,71.84,0.639,0,173.5,17,0.463,0,1,0
948.5,2,394.12,658.98,40.88,0.238,1,242.16,14,0.361,0,0,0
2595.14,5,68.83,169.66,53.48,0.377,2,88.5,11,0.493,0,1,0
8417.23,4,122.42,1245.26,106.16,0.368,2,176.34,15,0.72,0,0,1
1744.41,3,98.13,103.31,23.34,0.199,1,294.69,13,0.381,0,0,0
8644.2,8,78.19,1134.49,5.91,0.18,0,140.82,0,0.046,0,0,1
131.66,3,269.95,83.32,4.96,0.506,2,180.62,11,0.473,0,0,0
4112.98,7,442.51,467.28,76.31,0.386,0,202.41,15,0.263,0,0,1
1972.48,2,352.04,959.28,53.2,0.684,1,103.62,13,0.415,0,0,0
1340.76,1,213.3,140.88,41.79,0.197,2,310.52,17,0.165,0,0,0
1981.8,5,416.69,1116.57,132.96,0.105,3,265.99,6,0.246,0,1,0
247.75,4,373.66,2453.12,49.29,0.273,3,248.54,8,0.143,0,0,0
1451.46,4,169.46,373.96,2.44,0.016,1,227.59,15,0.203,0,0,0
2584.05,4,214.7,1.0,31.62,0.093,0,128.75,11,0.513,0,0,0
7925.92,3,284.75,518.28,12.1,0.409,0,270.89,17,0.092,0,1,1
1076.78,0,156.18,1861.84,48.55,0.387,0,177.53,13,0.628,0,0,0
805.53,2,131.08,874.91,10.39,0.385,0,88.38,23,0.234,0,0,0
1094.71,3,338.55,971.99,51.78,0.384,1,138.42,12,0.616,0,1,0
4516.09,4,366.4,1257.97,107.42,0.095,1,107.23,23,0.641,0,0,0
2511.79,2,127.6,1910.55,4.02,0.382,0,302.36,8,0.235,0,0,0
1064.48,6,293.67,106.65,14.99,0.355,0,288.77,17,0.435,0,1,0
3020.77,5,291.7,713.69,55.97,0.286,1,317.88,1,0.752,0,1,0
1992.36,1,117.58,1763.87,62.1,0.318,0,188.1,20,0.243,0,0,0
4763.06,8,288.8,1196.49,44.19,0.121,1,99.68,5,0.122,0,1,1
896.01,6,312.11,229.02,7.49,0.329,1,160.64,13,0.187,0,0,0
1302.89,1,317.8,1661.04,13.9,0.227,0,189.59,13,0.218,0,1,0
1221.57,9,214.68,278.63,118.95,0.115,2,139.84,18,0.158,0,0,0
418.42,3,284.6,423.31,85.53,0.185,2,212.54,18,0.553,0,1,0
2431.15,9,270.48,164.28,149.81,0.464,1,166.39,4,0.07,0,0,0
2347.38,4,258.2,1731.84,26.3,0.218,3,182.54,12,0.534,0,0,0
1817.31,3,354.13,78.1,28.95,0.049,2,128.85,15,0.165,0,1,1
1429.98,7,132.79,4107.45,14.98,0.183,1,184.98,21,0.203,0,0,1
439.06,5,145.89,318.81,37.17,0.242,0,183.92,18,0.15,0,0,0
1187.2,6,119.89,992.53,88.55,0.596,0,155.97,11,0.179,0,0,0
1283.42,3,366.3,110.24,14.23,0.127,1,207.54,16,0.787,0,1,0
810.56,7,245.66,535.33,7.58,0.225,0,66.91,20,0.254,0,0,0
1538.73,5,172.98,32.77,69.42,0.125,1,180.11,3,0.082,0,1,0
2708.23,8,399.45,1685.61,59.11,0.609,0,346.9,12,0.349,0,0,1
11922.54,7,219.21,473.09,88.37,0.115,1,201.15,19,0.194,0,0,1
2152.91,3,20.0,1086.18,69.62,0.068,0,146.71,14,0.296,0,0,0
2339.17,5,169.76,1799.35,27.18,0.424,0,297.06,3,0.3,0,0,0
1678.33,9,258.72,56.85,8.53,0.226,1,119.78,9,0.701,0,0,1
265.4,5,291.71,573.04,62.68,0.329,0,61.94,23,0.41,0,0,0
1760.73,6,165.92,168.12,105.35,0.224,0,264.76,17,0.083,0,0,0
1920.29,4,196.07,57.2,8.29,0.394,0,190.72,12,0.244,0,0,0
21231.52,6,187.86,778.36,36.56,0.156,0,222.53,12,0.301,0,1,1
1491.65,6,322.71,96.92,19.94,0.176,1,131.55,18,0.201,0,0,0
2444.38,5,407.03,541.72,36.64,0.222,1,124.49,7,0.554,0,1,0
1746.36,6,158.41,175.44,1.59,0.275,4,237.62,19,0.222,0,1,0
561.9,4,415.44,176.24,21.81,0.324,0,136.84,22,0.438,1,0,1
5669.31,4,267.88,592.18,33.1,0.284,0,128.64,2,0.204,0,0,1
3835.03,7,227.34,648.45,8.18,0.231,1,203.64,4,0.541,0,1,0
3987.95,7,210.68,2.79,26.17,0.299,1,338.25,16,0.497,0,1,1
728.23,5,129.47,555.75,9.68,0.116,1,159.53,19,0.133,0,0,0
7352.49,3,143.16,886.32,12.15,0.168,0,73.76,20,0.109,0,0,1
445.03,3,125.17,907.84,190.08,0.08,0,185.21,7,0.597,0,0,0
3251.45,3,113.26,1517.06,46.04,0.528,1,271.08,17,0.311,0,0,1
16162.61,2,291.49,1805.33,24.67,0.115,0,161.2,10,0.266,0,0,1
671.47,6,496.09,780.11,36.83,0.649,0,89.06,2,0.31,0,0,0
1026.29,3,153.96,525.96,24.15,0.189,0,235.54,14,0.326,0,0,0
1997.5,3,210.73,182.63,46.04,0.379,2,313.3,20,0.553,0,0,1
1092.83,11,362.51,108.44,0.02,0.046,2,51.01,18,0.459,0,1,0
383.5,4,123.45,751.44,13.47,0.078,1,303.93,19,0.011,0,0,0
1936.36,10,76.38,2343.7,225.13,0.332,1,267.45,14,0.312,0,0,1
624.97,8,20.0,260.82,5.96,0.193,0,145.63,19,0.578,0,0,0
2903.27,3,251.02,83.8,4.11,0.584,1,195.52,9,0.438,1,0,1
720.95,7,168.05,441.13,33.98,0.319,0,165.59,17,0.226,0,0,0
8517.98,5,86.0,1.0,17.18,0.318,2,162.36,5,0.322,0,1,1
826.13,3,163.2,645.19,38.16,0.49,0,117.5,1,0.308,0,0,0
1310.2,5,347.56,40.6,161.86,0.282,2,74.33,8,0.685,0,0,0
4078.63,6,192.1,2138.52,6.74,0.418,0,248.81,3,0.303,0,0,1
528.02,5,342.86,1631.76,28.99,0.28,0,272.37,12,0.28,0,0,0
2269.83,5,294.73,97.65,71.11,0.698,1,183.64,2,0.299,0,0,1
6681.8,2,259.79,127.1,8.76,0.434,1,219.48,19,0.144,0,0,1
362.32,6,239.63,2453.74,62.26,0.377,1,273.52,8,0.574,0,1,1
2174.67,5,321.66,1343.69,25.56,0.658,1,76.94,0,0.328,0,0,1
2344.63,4,275.79,2278.19,48.49,0.613,0,20.0,13,0.462,0,0,0
3951.39,7,263.81,325.78,37.29,0.131,1,214.39,23,0.327,0,1,0
524.82,5,20.0,94.09,29.94,0.288,0,108.91,2,0.22,0,0,0
482.77,6,203.06,764.41,32.6,0.238,2,42.22,9,0.206,0,0,0
3047.09,6,54.5,2721.88,7.96,0.184,1,167.77,23,0.669,0,0,0
2433.25,6,110.68,111.38,28.47,0.523,0,243.05,11,0.121,0,0,0
2322.72,3,361.16,1366.94,69.93,0.313,2,309.4,13,0.593,0,1,1
2556.64,5,221.37,356.55,113.48,0.234,0,20.0,10,0.286,0,0,0
915.96,4,438.36,98.19,49.27,0.161,0,20.0,19,0.117,0,0,0
2280.74,8,326.83,491.52,87.81,0.102,2,87.16,16,0.405,0,0,0
2423.75,3,157.55,536.69,35.42,0.193,1,213.17,21,0.775,0,0,1
885.05,2,190.55,7.3,12.18,0.462,1,271.51,19,0.101,0,0,0
11681.65,1,317.16,514.65,64.36,0.063,0,59.6,8,0.669,0,0,1
2903.97,7,305.11,834.11,60.51,0.424,1,291.64,18,0.632,1,1,1
549.33,3,355.3,1157.38,0.36,0.161,1,298.68,19,0.449,0,0,0
3486.15,2,20.0,83.01,32.65,0.246,1,31.22,21,0.106,0,0,1
682.2,4,51.07,1673.46,138.03,0.172,1,184.41,11,0.378,0,0,0
3972.24,6,167.11,146.89,207.89,0.476,0,143.32,3,0.291,0,0,1
5759.44,2,319.74,859.03,30.53,0.269,0,153.27,18,0.027,0,0,1
795.78,7,335.03,643.5,63.97,0.248,1,299.89,10,0.488,0,1,0
4738.03,4,20.0,1696.27,0.89,0.264,1,289.18,14,0.199,0,0,1
2731.98,10,134.23,31.53,15.6,0.07,1,148.37,8,0.166,0,0,0
4113.63,8,306.97,170.12,63.96,0.102,1,124.62,13,0.343,0,0,1
